best_fitness,fitness_mean,fitness_std,elapsed_time(seconds)
20,20.65,1.24399,0.71299
18,18.62,1.31742,2.03323
19,19.74,1.34625,1.18832
17,17.82,1.4169,1.16528
20,20.7,1.26886,0.715664
20,20.68,1.25603,0.726398
20,20.65,1.21963,0.796723
21,21.56,1.23548,2.0014
18,18.85,1.43788,1.68434
20,20.67,1.31191,1.6099
18,18.67,1.34205,0.862606
20,20.71,1.34384,0.846569
19,19.6,1.28062,1.19181
20,20.55,1.19478,0.860619
20,20.86,1.36396,1.51629
20,20.5,1.10905,0.854558
19,19.81,1.41206,1.50549
18,18.69,1.19746,1.53416
20,20.74,1.31621,0.990708
16,16.66,1.32076,1.56177
