best_fitness,fitness_mean,fitness_std,elapsed_time(seconds)
17,17.53,1.10865,0.991948
18,18.66,1.32076,0.96284
20,20.64,1.20433,0.720771
20,20.66,1.25076,0.701017
20,20.82,1.39556,0.702554
18,18.71,1.40922,2.07557
20,20.78,1.32348,1.04744
20,20.89,1.6118,2.80326
19,19.74,1.33881,1.1146
16,16.7,1.33041,1.24471
20,20.66,1.32076,1.08316
20,20.71,1.32133,0.875543
18,18.75,1.36656,1.53555
20,20.58,1.22621,0.731523
20,20.57,1.22682,0.742482
18,18.57,1.29039,0.823509
21,21.47,1.09046,2.52478
19,19.87,1.50103,1.43996
20,20.55,1.15217,0.74101
18,18.61,1.27197,0.756096
